time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_range,train/entropy_loss,train/approx_kl,train/loss,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/n_updates,eval/mean_ep_length,eval/mean_reward
638976,52,756,844,0.2,-0.04356633132944505,0.0021283578,83.5625228881836,0.9946467280387878,160.71890329519908,-0.0004932040996209252,0.0003,0.01396484375,510,,
651264,53,756,860,0.2,-0.03657651334287948,0.0011370064,163.28878784179688,0.992245078086853,325.07303198973335,0.0006956626840595466,0.0003,0.009912109375,520,,
660000,,,,0.2,-0.031493792129307016,0.00146328,91.77897644042969,0.9953282475471497,184.9635850081841,0.002453791519898611,0.0003,0.013419596354166667,530,8760.0,76640.0467701912
663552,54,747,888,,,,,,,,,,,,
675840,55,745,906,0.2,-0.029822170264136125,0.002651373,46.835636138916016,0.9981066584587097,91.86377156674862,0.0006257021350999518,0.0003,0.011588541666666667,540,,
688128,56,743,926,0.2,-0.02901153444387698,0.0012191706,30.06468963623047,0.9966632723808289,111.3704811612765,0.00030291162305123485,0.0003,0.009602864583333334,550,,
700416,57,741,944,0.2,-0.03070468378076233,0.0008630997,213.7948455810547,0.993132472038269,297.1840121348699,5.338858075750371e-06,0.0003,0.007421875,560,,
712704,58,740,961,0.2,-0.026431926879134458,0.0020106975,21.655887603759766,0.9953387379646301,168.06155640482902,0.0022488321670001217,0.0003,0.01259765625,570,,
720000,,,,0.2,-0.02742625345114599,0.001863645,173.3888397216797,0.9976826906204224,142.93413094480832,0.0005941559207712999,0.0003,0.0118896484375,580,8760.0,75805.83073205948
724992,59,736,984,,,,,,,,,,,,
737280,60,738,997,0.2,-0.02876341039191175,0.0027843479,74.83551025390625,0.9971246123313904,131.8020380973816,0.00016995785626932046,0.0003,0.009342447916666666,590,,
749568,61,740,1011,0.2,-0.029880556564846,0.0005213354,91.08131408691406,0.9926568865776062,295.87546533942225,3.218878167293345e-05,0.0003,0.0050618489583333336,600,,
761856,62,741,1028,0.2,-0.026513123382998553,0.001362627,76.50748443603516,0.9929834604263306,198.6799736728271,0.004570448779850267,0.0003,0.01748046875,610,,
774144,63,741,1044,0.2,-0.02278541269048825,0.0030361742,37.603675842285156,0.9973971247673035,145.1211360534032,0.0011317227450490463,0.0003,0.012556966145833333,620,,
780000,,,,0.2,-0.023685905792020397,0.00079443183,49.54533004760742,0.9965752959251404,145.33290535211563,0.0001542920615368833,0.0003,0.0077555338541666664,630,8741.8,75763.68912827969
786432,64,736,1067,,,,,,,,,,,,
798720,65,738,1081,0.2,-0.025366561990267655,0.0059793014,69.29607391357422,0.9950402975082397,128.7812932352225,0.00017658276701695285,0.0003,0.009285481770833333,640,,
811008,66,739,1096,0.2,-0.02491236706525039,0.0030505965,77.36796569824219,0.9920336604118347,310.07177373965584,0.0002251663167650501,0.0003,0.011067708333333334,650,,
823296,67,740,1111,0.2,-0.021781417450074513,0.0028332334,83.38215637207031,0.9964465498924255,185.27121007641156,0.0023034783220888737,0.0003,0.0134765625,660,,
835584,68,742,1125,0.2,-0.021705158323372113,0.0006382135,74.65910339355469,0.9977957606315613,109.73867740233739,0.0006320384748202438,0.0003,0.0099853515625,670,,
840000,,,,0.2,-0.021958905154800354,0.00050798315,64.31900024414062,0.9967214465141296,102.18820829590162,0.0011155583289413093,0.0003,0.008406575520833333,680,8760.0,76675.49393835067
847872,69,737,1149,,,,,,,,,,,,
860160,70,738,1163,0.2,-0.021023448133200874,0.0005635209,158.1875457763672,0.9936245083808899,284.59102895259855,0.0011368101317202673,0.0003,0.0070149739583333336,690,,
872448,71,741,1177,0.2,-0.01791834174552302,0.0035611603,124.47573852539062,0.9953376650810242,178.6083222826322,0.004534671151244159,0.0003,0.0131591796875,700,,
884736,72,743,1190,0.2,-0.018847127956511635,0.0045136088,46.959407806396484,0.9970577359199524,170.07495468060176,0.0014415004351273333,0.0003,0.014339192708333334,710,,
897024,73,744,1204,0.2,-0.02057203705280699,0.0011566811,31.974254608154297,0.9969537854194641,149.57784490585328,-0.0001422976854276688,0.0003,0.00830078125,720,,
900000,,,,0.2,-0.021081802510222285,0.0012189598,176.44720458984375,0.992000162601471,351.52440994183223,-0.00027540000677011753,0.0003,0.007210286458333334,730,8760.0,75987.13699293137
909312,74,740,1228,,,,,,,,,,,,
921600,75,741,1242,0.2,-0.01616011049075799,0.018865434,77.1338882446289,0.9937494993209839,213.43922825455667,0.0023901443426439075,0.0003,0.016585286458333334,740,,
933888,76,743,1256,0.2,-0.01647572526123137,0.011739217,121.13798522949219,0.9973759055137634,165.75208166837692,0.0006363793104052699,0.0003,0.009993489583333333,750,,
946176,77,744,1270,0.2,-0.016652527280772725,0.00146269,65.49420166015625,0.9968785047531128,142.60326793988546,-0.0008975684688872813,0.0003,0.009464518229166666,760,,
958464,78,745,1285,0.2,-0.020666406392380546,0.0012978157,92.8302001953125,0.993118941783905,216.74690757989885,0.0005622342738206499,0.0003,0.008455403645833333,770,,
960000,,,,0.2,-0.013601482733641508,0.0058323215,131.47457885742188,0.990437924861908,202.8478980342547,0.011284696821773348,0.0003,0.020222981770833332,780,8733.2,74819.17179012299
970752,79,741,1308,,,,,,,,,,,,
